month,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.25523508,0.015690442,0.96890736,-0.7687025,-0.49276945,2.8178687,-1.534865,-1.7849686,-0.5876814,0.2123928,1.2468655,0.18209487,0.5676953,-0.8107778,0.7171062,-1.7289802,-0.8718732,1.7009969,-1.5499628,-0.93296474,-0.21382558,-0.23486239,0.66859716,2.8113327,-0.12234521,-0.55843747,0.84097147,0.7211498,-0.82278645,-0.71110207
2,0.2399234,-0.0885245,0.7768313,-0.86005616,-0.32142487,2.2958612,-1.1068656,-1.4166267,-0.6330881,0.3580933,0.8514898,0.1571532,0.2942852,-0.598398,0.17432696,-1.7585148,-0.5815789,1.3712213,-1.0309243,-0.5465301,-0.18067664,-0.3573055,0.6750717,2.4603708,0.22103606,-0.51435286,0.84796685,0.57976115,-0.6415634,-0.6669621
3,0.49131587,0.0937369,0.36054587,-0.6885837,-0.19779745,1.5828301,-0.8480489,-1.0163953,-0.35045624,0.07989579,0.57052606,-0.06707079,0.40640536,-0.6427672,-0.07978377,-1.144441,-0.49018997,1.1522516,-0.90700996,-0.50232506,0.029498067,-0.0063716276,0.63296765,1.7182117,0.26834112,-0.5899077,1.0323604,0.5571704,-0.4840245,-0.960884
4,0.8220531,-0.02129998,0.09951117,-0.538164,0.20113254,0.87940615,-0.8350013,-0.6601935,-0.28707668,0.13838905,-0.041765716,0.04194949,0.25022703,-0.19302572,-0.18145257,-0.9744213,-0.26742592,0.61680853,-0.6156111,-0.38228837,-0.07985695,0.23755026,0.8268994,1.1495073,0.3962493,-0.38582987,0.83994985,0.49537733,-0.4704308,-1.0611656
5,0.93745255,0.12017585,-0.2734975,-0.5629051,0.6919449,0.57917416,-0.92544705,-0.59276557,-0.21420574,0.31436828,-0.5212441,0.18207708,0.35253966,0.045913815,-0.35899612,-0.69959426,0.18456094,-0.19984946,-0.35676655,-0.14433223,-0.30167535,0.44951835,1.0606916,0.35395592,0.54593956,-0.05231217,0.8400569,-0.16542038,-0.26011533,-1.0292426
6,0.6731064,0.18794303,-0.23383753,-0.50950307,1.2843629,-1.175487,-1.0839415,-0.53564,-0.009618568,0.7524234,-0.17298076,-0.013198352,0.27738494,0.118042484,-0.20649295,-0.54587847,0.4532376,-0.7669008,-0.25066587,0.21850196,-0.3287166,0.38631865,1.2881761,-0.16827002,0.52409345,0.24698548,0.6714834,-0.33342052,-0.05004288,-0.6974647
7,0.34008142,0.018939853,-0.31487596,-0.28287968,1.6836152,-1.5636435,-0.9214385,-0.42702207,0.08764173,0.6818347,0.11602322,0.44275215,0.109727494,0.024478493,-0.5332279,-0.09267565,0.6459141,-1.1901257,-0.36028436,0.45868167,-0.3692373,0.010573498,1.5724889,-0.46370858,0.45877716,0.37704566,0.47695342,-0.14829847,-0.19200335,-0.64610744
8,0.14153294,0.450284,-0.5953213,-0.37841776,2.0601106,-1.6126568,-1.1671026,-0.34170082,0.10132153,0.99081755,-0.026839657,0.70051783,-0.0010434682,0.37273133,-0.68442965,0.0403267,0.7467018,-1.3429418,-0.628168,0.76130533,-0.271504,0.26367906,2.1107762,-0.4853233,0.026273925,0.30099174,0.14004987,-0.5043241,-0.30275118,-0.86489606
9,0.41764888,0.39459267,-0.87067527,-0.43683136,2.326096,-1.0537999,-0.96512175,-0.3560174,-0.028959287,1.1868167,0.23050247,0.7855654,-0.1045285,0.66978246,-1.1560228,-0.25357726,0.8073099,-1.5426502,-0.7139482,0.47553656,-0.024056198,0.4688853,2.3296704,-0.52562326,-0.27209798,0.37800995,-0.023382476,-0.82124704,-0.38611314,-0.9357643
10,0.4092747,0.913212,-1.079791,-0.46920216,2.6944518,-1.3200625,-1.0626557,-0.5008497,-0.08081247,1.4495153,0.46919775,0.67358375,0.034380484,0.7850349,-1.5341457,-0.35070243,0.99194276,-1.6682814,-0.95279676,0.2589265,-0.24488415,0.5266525,2.544961,-0.60030544,-0.37980658,0.8453339,0.5890755,-1.2057377,-0.85833824,-0.87717104
11,0.28953403,1.290956,-1.1174915,-0.5222164,2.923328,-1.5648807,-1.626811,-0.82135403,-0.1481126,1.6497142,0.4181309,0.616233,-0.44100428,1.0354604,-1.6626642,-0.4015495,1.5861369,-1.6531404,-1.1767048,0.24446352,0.0852984,0.80682814,2.9248013,-0.4146937,-0.7591571,0.9530951,0.5926637,-1.2573497,-0.8774439,-0.9720686
12,0.28254056,1.2716656,-0.980383,-0.6097363,2.9198422,-1.8458692,-1.6639824,-0.8153798,-0.2281187,1.5653516,0.41784433,0.7573299,-0.6493564,1.1979641,-1.6298021,-0.8261377,1.7927281,-1.71565,-0.9612211,0.0711025,0.010405721,0.83914554,2.9084978,-0.25766808,-0.7647102,0.9842278,0.5831021,-0.99205655,-0.87567765,-0.7859983
